text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
"SLAP tear (superior labral anterior to posterior tear), right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"golfer's elbow (medial epicondylitis), left",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic bronchitis,9012,Respiratory,9012,Respiratory,True
GERD,8968,Digestive,8968,Digestive,True
Headaches,9007,Neurological other System,9007,Neurological other System,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
Panic Disorder,8989,Mental Disorders,8989,Mental Disorders,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
ringworm (dermatophytosis),9016,Skin,9016,Skin,True
rheumatoid arthritis,8992,Musculoskeletal - Arthritis,8992,Musculoskeletal - Arthritis,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
alopecia,9016,Skin,9016,Skin,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"ankle sprain, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"post-traumatic arthritis in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"hip condition, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip condition, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
foot pain,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"knee condition, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee condition, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
"scars, extremities or trunk",9013,Scars (Extremities and Trunk),9013,Scars (Extremities and Trunk),True
Parkinson's disease,9007,Neurological other System,9007,Neurological other System,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"bursitis in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"ankle sprain, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"ankylosis in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"ankylosis in hand or fingers, left",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
chronic urticaria (chronic hives),9016,Skin,9016,Skin,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"ankylosis in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"ankylosis in wrist, left",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
Hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
asthma,9012,Respiratory,9012,Respiratory,True
"knee hyperextension (genu recurvatum), right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee hyperextension (genu recurvatum), left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
traumatic brain injury (TBI),9020,Traumatic Brain Injury,9020,Traumatic Brain Injury,True
Tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hiatal hernia,8968,Digestive,8968,Digestive,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
tooth,8967,Dental and Oral,8967,Dental and Oral,True
Hearing Loss,3140,Hearing Loss,3140,Hearing Loss,True
hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"plantar fasciitis, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
illness anxiety disorder (hypochondria),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
acne,9016,Skin,9016,Skin,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
gerd gastroesophageal reflux disease,8968,Digestive,8968,Digestive,True
erectile dysfunction ed,8975,Genitourinary,8975,Genitourinary,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"diabetes, type 1 or type 2",8973,Endocrine,8973,Endocrine,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"perforated eardrum (perforated tympanic membrane), right",8969,Ear Disease and Other Sense Organs,8969,Ear Disease and Other Sense Organs,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
otitis media middle ear infection,3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
eczema (atopic dermatitis),9016,Skin,9016,Skin,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
persistent depressive disorder (dysthymic disorder),8989,Mental Disorders,8989,Mental Disorders,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee hyperextension (genu recurvatum), bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
epiphora (watery eyes),8974,Eye (Vision),8974,Eye (Vision),True
"ankle sprain, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"intervertebral disc syndrome (IVDS), back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee or patellar fracture, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip replacement (hip arthroplasty), left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hearing loss, other than tinnitus",3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"tendonitis (tendinitis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee strain or sprain, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
foot,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"bursitis in shoulder, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
enlarged prostate (benign prostatic hyperplasia or BPH),8975,Genitourinary,8975,Genitourinary,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines,9007,Neurological other System,9007,Neurological other System,True
"ACL tear (anterior cruciate ligament tear), left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hip,8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"metatarsalgia (pain in ball of foot), left",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"deep vein thrombosis (DVT) in leg, left",8987,Leg Condition - Heart/Veins/Arteries,8987,Leg Condition - Heart/Veins/Arteries,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
