# rows of data: 5000,  
# @contention_text,@classification_code
"deep vein thrombosis (DVT) in leg, left",8987
Diabetes,8973
High Blood Pressure,8979
Sleep Apnea,9012
somatic symptom disorder (SSD),8989
tinnitus (ringing or hissing in ears),3140
hemorrhoids,8968
hearing loss,3140
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
"knee strain or sprain, right",8997
unmapped contention text ['lower back'],8998
tinnitus (ringing or hissing in ears),3140
erectile dysfunction (ED),8975
sleep apnea,9012
"intervertebral disc syndrome (IVDS), back",8998
"degenerative arthritis (osteoarthritis) in shoulder, right",9002
"shoulder impingement syndrome, right",9002
hearing loss,3140
generalized anxiety disorder (GAD),8989
PTSD,8989
lower back strain (lumbosacral strain),8998
sleep apnea,9012
migraines (headaches),9007
neck strain (cervical strain),8999
"tendonitis (tendinitis) in knee, left",8997
sleep apnea,9012
middle back sprain (thoracic sprain),8998
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['tinnitus ringing hissing ears'],3140
"wrist fracture, left",9004
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
hypertension (high blood pressure),8979
migraines (headaches),9007
"wrist sprain, right",9004
"temporomandibular disorder, including TMJ",249481
GERD (gastroesophageal reflux disease),8968
eczema (atopic dermatitis),9016
adjustment disorder,8989
chronic nephritis (inflammation of kidneys),8975
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
athlete's foot (tinea pedis),9016
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
female sexual arousal disorder (FSAD),8978
"varicose veins in leg, bilateral",8987
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
"visual impairment, including blurry vision, blindness and double vision",8974
"soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, extremities or trunk",8941
"soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, head or neck",8941
"flatfoot (pes planus), bilateral",8994
"knee instability, bilateral",8997
acne,9016
migraines (headaches),9007
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
Tinnitus,3140
"temporomandibular disorder, including TMJ",249481
"carpal tunnel syndrome, right",9006
PTSD (post-traumatic stress disorder),8989
tachycardia,8979
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
anorexia (type of eating disorder),8970
"shoulder impingement syndrome, right",9002
tinnitus (ringing or hissing in ears),3140
Tinnitus,3140
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['renal disease'],8975
"flatfoot (pes planus), bilateral",8994
hypertension (high blood pressure),8979
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
depression (major depressive disorder),8989
"knee instability, bilateral",8997
"ankle sprain, bilateral",8991
"ankle sprain, right",8991
sleep apnea,9012
asthma,9012
sleep apnea,9012
Hearing loss,3140
"scars, extremities or trunk",9013
generalized anxiety disorder (GAD),8989
sleep apnea,9012
"plantar fasciitis, right",8994
cervical spinal stenosis (narrowing of spinal canal in neck),8999
irritable bowel syndrome (IBS),8968
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
panic disorder,8989
illness anxiety disorder (hypochondria),8989
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"degenerative arthritis (osteoarthritis) in knee, right",8997
hearing loss,3140
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
Tinnitus,3140
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
migraines (headaches),9007
lower back strain (lumbosacral strain),8998
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
"wrist fracture, left",9004
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
"scars, head, face or neck",9014
epiphora (watery eyes),8974
panic disorder,8989
hearing loss,3140
"chronic rhinitis, allergic or non-allergic",9012
"degenerative arthritis (osteoarthritis) in foot, left",8994
sleep apnea,9012
migraines (headaches),9007
unmapped contention text ['anxiety'],8989
irritable bowel syndrome (IBS),8968
GERD (gastroesophageal reflux disease),8968
"chronic rhinitis, allergic",9012
chronic sinusitis,9012
kidney stones (nephrolithiasis),8975
"degenerative arthritis (osteoarthritis) in knee, right",8997
"shoulder strain, left",9002
middle back strain (thoracic strain),8998
"plantar fasciitis, bilateral",8994
"knee strain or sprain, bilateral",8997
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
GERD (gastroesophageal reflux disease),8968
athlete's foot (tinea pedis),9016
"flatfoot (pes planus), bilateral",8994
"non-diabetic peripheral neuropathy, left upper extremities",9006
lower back strain (lumbosacral strain),8998
neck strain (cervical strain),8999
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
"chronic rhinitis, allergic or non-allergic",9012
"rotator cuff tear, bilateral",9002
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"temporomandibular disorder, including TMJ",249481
sleep apnea,9012
persistent depressive disorder (dysthymic disorder),8989
generalized anxiety disorder (GAD),8989
sleep apnea,9012
"ankylosis in hand or fingers, left",8995
"plantar fasciitis, right",8994
tinnitus (ringing or hissing in ears),3140
tinnitus (ringing or hissing in ears),3140
hypertension (high blood pressure),8979
"post-traumatic arthritis in hand or fingers, bilateral",8995
"tendonitis (tendinitis) in elbow, bilateral",8993
"spinal arthritis, back",8998
"post-traumatic arthritis in ankle, left",8991
"shoulder strain, bilateral",9002
"ankylosis in knee, bilateral",8997
"bursitis in shoulder, bilateral",9002
lower back sprain (lumbosacral sprain),8998
migraines (headaches),9007
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"hip impingement (femoroacetabular impingement or FAI), right",8996
GERD (gastroesophageal reflux disease),8968
esophageal stricture (narrowing of esophagus),8968
generalized anxiety disorder (GAD),8989
"diabetic peripheral neuropathy, bilateral upper extremities",9006
asthma,9012
lupus,8986
sleep apnea,9012
"temporomandibular disorder, including TMJ",249481
unmapped contention text ['wrist strain'],9004
PTSD,8989
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
migraines (headaches),9007
Sleep Apnea,9012
High Blood Pressure,8979
"Shoulder Condition, Right",9002
Depression,8989
Sinus Condition,9012
Crohn's disease,8968
"tendonitis (tendinitis) in foot, right",8994
panic disorder,8989
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
generalized anxiety disorder (GAD),8989
"tendonitis (tendinitis) in hand or fingers, right",8995
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
"ACL tear (anterior cruciate ligament tear), left",8997
"tendonitis (tendinitis) in elbow, right",8993
"tendonitis (tendinitis) in hand or fingers, left",8995
"tendonitis (tendinitis) in ankle, left",8991
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
erectile dysfunction (ED),8975
deviated septum,9012
PTSD (post-traumatic stress disorder),8989
"knee instability, bilateral",8997
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
asthma,9012
hypothyroidism (underactive thyroid),8973
"plantar fasciitis, bilateral",8994
hearing loss,3140
traumatic brain injury (TBI),9020
generalized anxiety disorder (GAD),8989
generalized anxiety disorder (GAD),8989
knee strain,8997
"carpal tunnel syndrome, bilateral",9006
middle back sprain (thoracic sprain),8998
"tendonitis (tendinitis) in elbow, bilateral",8993
migraines (headaches),9007
erectile dysfunction (ED),8975
tinnitus (ringing or hissing in ears),3140
"hallux rigidus (big toe arthritis), bilateral",8994
neck sprain (cervical sprain),8999
lower back sprain (lumbosacral sprain),8998
"shoulder strain, bilateral",9002
"bursitis in ankle, bilateral",8991
"ankle sprain, bilateral",8991
"wrist sprain, bilateral",9004
"tendonitis (tendinitis) in foot, bilateral",8994
"tendinosis in hand or fingers, bilateral",8995
"tendonitis (tendinitis) in shoulder, bilateral",9002
"tendonitis (tendinitis) in knee, right",8997
"tendonitis (tendinitis) in knee, left",8997
"tendonitis (tendinitis) in hip, bilateral",8996
"plantar fasciitis, right",8994
"plantar fasciitis, left",8994
"tendonitis (tendinitis) in ankle, right",8991
"tendonitis (tendinitis) in ankle, left",8991
traumatic brain injury (TBI),9020
fecal incontinence (loss of bowel control),8968
sleep apnea,9012
"ankylosis in ankle, right",8991
"rotator cuff tear, left",9002
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
migraines (headaches),9007
sleep apnea,9012
erectile dysfunction (ED),8975
"knee strain or sprain, right",8997
depression,8989
PTSD (post-traumatic stress disorder),8989
"carpal tunnel syndrome, right",9006
lower back sprain (lumbosacral sprain),8998
tinnitus (ringing or hissing in ears),3140
"plantar fasciitis, right",8994
"ankle sprain, bilateral",8991
"gout in foot, left",8994
sleep apnea,9012
chronic sinusitis,9012
asthma,9012
"shoulder strain, bilateral",9002
"hip sprain, bilateral",8996
"knee hyperextension (genu recurvatum), bilateral",8997
neck strain (cervical strain),8999
"ankylosis in elbow, bilateral",8993
lower back strain (lumbosacral strain),8998
"ankle sprain, left",8991
"ankylosis in ankle, right",8991
tinnitus (ringing or hissing in ears),3140
"flatfoot (pes planus), right",8994
"flatfoot (pes planus), left",8994
"bunions (hallux valgus), right",8994
"bunions (hallux valgus), left",8994
"plantar fasciitis, bilateral",8994
neck strain (cervical strain),8999
unmapped contention text ['hip'],8996
unmapped contention text ['ankle'],8991
migraines (headaches),9007
"non-diabetic peripheral neuropathy, left upper extremities",9006
"spinal arthritis, neck",8999
cervical spinal stenosis (narrowing of spinal canal in neck),8999
hemorrhoids,8968
irritable bowel syndrome (IBS),8968
generalized anxiety disorder (GAD),8989
traumatic brain injury (TBI),9020
tinnitus (ringing or hissing in ears),3140
"ankylosis in hip, bilateral",8996
"scars, extremities or trunk",9013
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
depression (major depressive disorder),8989
"plantar fasciitis, bilateral",8994
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
erectile dysfunction (ED),8975
"ankylosis in knee, bilateral",8997
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
lower back strain (lumbosacral strain),8998
"knee instability, bilateral",8997
Ptsd,8989
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
tinnitus (ringing or hissing in ears),3140
"shoulder dislocation, right",9002
persistent depressive disorder (dysthymic disorder),8989
generalized anxiety disorder (GAD),8989
bulimia (type of eating disorder),8970
hypertension (high blood pressure),8979
"greater trochanteric pain syndrome (lateral hip pain), right",8996
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
lower back strain (lumbosacral strain),8998
traumatic brain injury (TBI),9020
irritable bowel syndrome (IBS),8968
"ankylosis in hip, bilateral",8996
"ankylosis in shoulder, bilateral",9002
sleep apnea,9012
migraines (headaches),9007
"ankylosis in elbow, right",8993
"ankylosis in wrist, right",9004
"ankylosis in shoulder, left",9002
"ankylosis in shoulder, right",9002
migraines (headaches),9007
"ankylosis in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in knee, right",8997
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
"tendonitis (tendinitis) in knee, bilateral",8997
"tendonitis (tendinitis) in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in knee, right",8997
generalized anxiety disorder (GAD),8989
hypertension (high blood pressure),8979
"degenerative arthritis (osteoarthritis) in shoulder, right",9002
