Main condition/term,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
De Quervain's tenosynovitis (De Quervain's syndrome),De Quervain's tenosynovitis,De Quervain's syndrome,,,,,,,,,,"left, right, bilateral","De Quervain's tenosynovitis (De Quervain's syndrome), right","De Quervain's tenosynovitis (De Quervain's syndrome), left","De Quervain's tenosynovitis (De Quervain's syndrome), bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in wrist,degenerative arthritis in wrist,osteoarthritis in wrist,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in wrist, right","degenerative arthritis (osteoarthritis) in wrist, left","degenerative arthritis (osteoarthritis) in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
gout in wrist,,,,,,,,,,,,"left, right, bilateral","gout in wrist, right","gout in wrist, left","gout in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in wrist,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in wrist, right","post-traumatic arthritis in wrist, left","post-traumatic arthritis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in wrist,tendonitis in wrist,tendinitis in wrist,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in wrist, right","tendonitis (tendinitis) in wrist, left","tendonitis (tendinitis) in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tenosynovitis in wrist,,,,,,,,,,,,"left, right, bilateral","tenosynovitis in wrist, right","tenosynovitis in wrist, left","tenosynovitis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
wrist fracture,,,,,,,,,,,,"left, right, bilateral","wrist fracture, right","wrist fracture, left","wrist fracture, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
wrist replacement (wrist arthroplasty),wrist replacement,wrist arthroplasty,,,,,,,,,,"left, right, bilateral","wrist replacement (wrist arthroplasty), right","wrist replacement (wrist arthroplasty), left","wrist replacement (wrist arthroplasty), bilateral",,,,9004,Musculoskeletal - Wrist,5053,wrist replacement,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,9004,yes,5053,wrist replacement,No Match,No Match,No Match,No Match,,5053
wrist sprain,,,,,,,,,,,,"left, right, bilateral","wrist sprain, right","wrist sprain, left","wrist sprain, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal and Muscle Injuries,,,,,muscle injury,,,,,,,,,,,,,,9005,Musculoskeletal and Muscle Injuries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
muscle hernia,,,,,,,,,,,,,muscle hernia,,,,,,9005,Musculoskeletal and Muscle Injuries,5326,muscle hernia,DBQ MUSC Muscle Injuries,no,Active,Active,v1.0,,,,,,,,,9005,yes,5326,muscle hernia,No Match,No Match,No Match,No Match,,5326
Neurological - Cranial/Peripheral Nerves,,,,,"neuropathy, peripheral",,,,,,,,,,,,,,9006,Neurological - Cranial/Peripheral Nerves,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
carpal tunnel syndrome,,,,,,,,,,,,"left, right, bilateral","carpal tunnel syndrome, right","carpal tunnel syndrome, left","carpal tunnel syndrome, bilateral",,,,9006,Neurological - Cranial/Peripheral Nerves,8515,paralysis of the median nerve,DBQ NEURO Peripheral Nerves,no,Active,Active,v1.0,,,,,,,,,9006,yes,8515,paralysis of the median nerve,No Match,No Match,No Match,No Match,,8515
Cranial nerve paralysis or cranial neuritis (inflammation of cranial nerves),Cranial nerve paralysis,cranial neuritis,Cranial nerve paralysis or cranial neuritis,inflammation of cranial nerves,,,,,,,,,Cranial nerve paralysis or cranial neuritis (inflammation of cranial nerves),,,,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,Cranial Nerves DC Group,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,,,,No Match,no,,,,,,No Match,,Multiple
cranial neuralgia (cranial nerve pain),cranial neuralgia,cranial nerve pain,,,,,,,,,,,cranial neuralgia (cranial nerve pain),,,,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,Cranial Nerves DC Group,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,,,,No Match,no,8405,neuralgia of the 5th cranial nerve,No Match,No Match,No Match,No Match,,Multiple
diabetic peripheral neuropathy,,,,,,,,,,,,"right lower extremities, right upper extremities, left lower extremities, left upper extremities, bilateral lower extremities, bilateral upper extremities","diabetic peripheral neuropathy, right lower extremities","diabetic peripheral neuropathy, right upper extremities","diabetic peripheral neuropathy, left lower extremities","diabetic peripheral neuropathy, left upper extremities","diabetic peripheral neuropathy, bilateral lower extremities","diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,Multiple,Peripheral Nerves DC Group,DBQ NEURO Diabetic Peripheral Neuropathy,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
non-diabetic peripheral neuropathy,,,,,,,,,,,,"right lower extremities, right upper extremities, left lower extremities, left upper extremities, bilateral lower extremities, bilateral upper extremities","non-diabetic peripheral neuropathy, right lower extremities","non-diabetic peripheral neuropathy, right upper extremities","non-diabetic peripheral neuropathy, left lower extremities","non-diabetic peripheral neuropathy, left upper extremities","non-diabetic peripheral neuropathy, bilateral lower extremities","non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,Multiple,Peripheral Nerves DC Group,DBQ NEURO Peripheral Nerves,no,Active,Active,v1.0,,,,,,,,,No Match,no,8520,paralysis of the sciatic nerve,No Match,No Match,No Match,No Match,,Multiple
Neurological other System,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"abscess, brain",,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"atrophy, progressive muscular",,,,,progressive muscular atrophy,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
palsy,,,,,Bell's palsy,bulbar palsy,"palsy, bulbar",,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
syringomyelia,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
chronic organic brain syndrome,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"encephalitis, lethargica residuals",,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
epilepsy,,,,,grand mal epilepsy,petit mal epilepsy,psychomotor epilepsy,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
myelitis (a spinal cord condition),myelitis,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ALS (amyotrophic lateral sclerosis),ALS,amyotrophic lateral sclerosis,,,amyotrophic lateral sclerosis,Lou Gehrig's disease,,,,,,,ALS (amyotrophic lateral sclerosis),,,,,,9007,Neurological other System,8017,amyotrophic lateral sclerosis,DBQ NEURO ALS (Lou Gehrig's Disease),no,Active,Active,v1.0,,,,,,,,,9007,yes,8017,amyotrophic lateral sclerosis,No Match,No Match,No Match,No Match,188,8017
"dysphagia (difficulty swallowing), associated with neurological disorder",dysphagia associated with neurological disorder,difficulty swallowing associated with neurological disorder,,,,,,,,,,,"dysphagia (difficulty swallowing), associated with neurological disorder",,,,,,9007,Neurological other System,8210,paralysis of the 10th cranial nerve,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,,"ADDRESSED - Per DBQ Index, dysphagia DBQ will be either cranial nerves diseases or esophageal conditions dependent on the underlying cause of the condition. We do not currently have that reflected. Do we need two terms for dysphagia? ""dysphagia (difficulty swallowing), associated with neurological disorder"" ""dysphagia (difficulty swallowing), not associated with neurological disorder""",,9007,yes,No Match,No Match,No Match,No Match,No Match,No Match,,8210
fibromyalgia,,,,,,,,,,,,,fibromyalgia,,,,,,9007,Neurological other System,5025,fibromyalgia,DBQ NEURO Fibromyalgia,no,Active,Active,v1.0,,,,,,,,,9007,yes,5025,fibromyalgia,No Match,No Match,No Match,No Match,,5025
migraines (headaches),migraines,migraine,headache,headaches,headaches,migraine,,,,,,,migraines (headaches),,,,,,9007,Neurological other System,8100,migraine,DBQ NEURO Headaches (Including Migraines),no,Active,Active,v1.0,,,,,,,,,9007,yes,8100,migraine,No Match,No Match,No Match,No Match,,8100
multiple sclerosis (MS),multiple sclerosis,MS,,,multiple sclerosis,,,,,,,,multiple sclerosis (MS),,,,,,9007,Neurological other System,8018,multiple sclerosis,DBQ NEURO Multiple Sclerosis (MS),no,Active,Active,v1.0,,,,,,,,,9007,yes,8018,multiple sclerosis,No Match,No Match,No Match,No Match,,8018
myasthenia gravis,,,,,,,,,,,,,myasthenia gravis,,,,,,9007,Neurological other System,8025,myasthenia gravis,DBQ NEURO Central Nervous System and Neuromuscular Diseases,no,Active,Active,v1.0,,,,,,,,,9007,yes,8025,myasthenia gravis,No Match,No Match,No Match,No Match,,8025
Parkinson's disease,,,,,,,,,,,,,Parkinson's disease,,,,,,9007,Neurological other System,8004,Parkinson's disease,DBQ NEURO Parkinson's Disease,no,Active,Active,v1.0,,,,,,,,,9007,yes,8004,Parkinson's disease,No Match,No Match,No Match,No Match,,8004
Pension,,,,,,,,,,,,,,,,,,,9008,Pension,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Pension - Aid and Attendance/Housebound,,,,,,,,,,,,,,,,,,,9009,Pension - Aid and Attendance/Housebound,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Respiratory,,,,,Respiratory complaints,non-specific respiratory condition,lung condition,signs or symptoms involving respiratory system,sinus condition,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
coccidiodomycosis,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
laryngectomy,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
pneumonia,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
asthma,,,,,,,,,,,,,asthma,,,,,,9012,Respiratory,6602,bronchial asthma,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,,,,9012,yes,6602,bronchial asthma,No Match,No Match,No Match,No Match,,6602
bronchiectasis,,,,,,,,,,,,,bronchiectasis,,,,,,9012,Respiratory,6601,bronchiectasis (dilatation of the bronchi),DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,9012,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
chronic bronchitis,,,,,bronchitis,,,,,,,,chronic bronchitis,,,,,,9012,Respiratory,6600,chronic bronchitis,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,,,,9012,yes,6600,chronic bronchitis,No Match,No Match,No Match,No Match,,6600
chronic laryngitis,,,,,,,,,,,,,chronic laryngitis,,,,,,9012,Respiratory,6516,chronic laryngitis,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",no,Active,Active,v1.0,,,,,,,,,9012,yes,6516,chronic laryngitis,No Match,No Match,No Match,No Match,,6516
chronic obstructive pulmonary disease (COPD),chronic obstructive pulmonary disease,COPD,,,chronic obstructive pulmonary disease,,,,,,,,chronic obstructive pulmonary disease (COPD),,,,,,9012,Respiratory,6604,chronic obstructive pulmonary disease,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,,,,9012,yes,6604,chronic obstructive pulmonary disease,No Match,No Match,No Match,No Match,,6604
"chronic rhinitis, allergic or non-allergic","chronic rhinitis, allergic","chronic rhinitis, non-allergic",,,rhinitis,,,,,,,,"chronic rhinitis, allergic or non-allergic",,,,,,9012,Respiratory,Multiple,Rhinitis DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,,,,No Match,no,6522,allergic or vasomotor rhinitis,No Match,No Match,No Match,No Match,,Multiple
chronic sinusitis,,,,,sinusitis,,,,,,,,chronic sinusitis,,,,,,9012,Respiratory,Multiple,Sinusitis DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,,,,No Match,no,6513,"maxillary sinusitis, chronic",No Match,No Match,No Match,No Match,,Multiple
constrictive bronchiolitis (obliterative bronchiolitis),constrictive bronchiolitis,obliterative bronchiolitis,,,,,,,,,,,constrictive bronchiolitis (obliterative bronchiolitis),,,,,,9012,Respiratory,Multiple,Bronchiolitis Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
deviated septum,,,,,,,,,,,,,deviated septum,,,,,,9012,Respiratory,6502,deviated septum,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",no,Active,Active,v1.0,,,,,,,,,9012,yes,6502,deviated septum,No Match,No Match,No Match,No Match,,6502
emphysema,,,,,,,,,,,,,emphysema,,,,,,9012,Respiratory,6603,pulmonary emphysema,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,9012,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
granulomatous disease,,,,,,,,,,,,,granulomatous disease,,,,,,9012,Respiratory,Multiple,Granuloma Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
"interstitial lung disease (ILD), including asbestosis",interstitial lung disease,interstitial lung disease (ILD),ILD,asbestosis,asbestosis (asbestos disease),,,,,,,,"interstitial lung disease (ILD), including asbestosis",,,,,,9012,Respiratory,Multiple,ILD or Pulmonary Fibrosis Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
pleurisy (pleuritis),pleurisy,pleuritis,,,pleurisy,,,,,,,,pleurisy (pleuritis) ,,,,,,9012,Respiratory,Multiple,Pleurisy Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
pulmonary fibrosis,,,,,"fibrosis, interstitial pulmonary",,,,,,,,pulmonary fibrosis,,,,,,9012,Respiratory,Multiple,ILD or Pulmonary Fibrosis Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
sarcoidosis,,,,,Boeck's disease,,,,,,,,sarcoidosis,,,,,,9012,Respiratory,6846,sarcoidosis,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,9012,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
sleep apnea,,,,,,,,,,,,,sleep apnea,,,,,,9012,Respiratory,6847,sleep apnea syndromes,DBQ RESP Sleep apnea,no,Active,Active,v1.0,,,,,,,,,9012,yes,6847,sleep apnea syndromes,No Match,No Match,No Match,No Match,,6847
"scars, extremities or trunk",,,,,Scars (Extremities and Trunk),,,,,,,,"scars, extremities or trunk",,,,,,9013,Scars (Extremities and Trunk),Multiple,Scars (Extremities and Trunk) DC group,DBQ DERM Scars Disfigurement,no,Active,Active,v1.0,,,,,,,,,No Match,no,7802,"scars, burns (2nd degree)",No Match,No Match,No Match,No Match,,Multiple
"scars, head, face or neck",,,,,"Scars (Head, Face, Or Neck)",,,,,,,,"scars, head, face or neck",,,,,,9014,"Scars (Head, Face, Or Neck)",Multiple,"Scars (Head, Face and Neck) DC Group",DBQ DERM Scars Disfigurement,no,Active,Active,v1.0,,,,,,,,,No Match,no,7800,"scars, head, face or neck",No Match,No Match,No Match,No Match,,Multiple
Service Connected Death,,,,,,,,,,,,,,,,,,,9015,Service Connected Death,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Skin,,,,,,,,,,,,,,,,,,,9016,Skin,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
acne,,,,,,,,,,,,,acne,,,,,,9016,Skin,7828,acne,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7828,acne,No Match,No Match,No Match,No Match,12,7828
alopecia,,,,,,,,,,,,,alopecia,,,,,,9016,Skin,Multiple,Alopecia group,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,No Match,no,7831,alopecia areata,No Match,No Match,No Match,No Match,16,7831
athlete's foot (tinea pedis),athlete's foot,tinea pedis,,,athlete's foot,tinea pedis,,,,,,,athlete's foot (tinea pedis),,,,,,9016,Skin,7813,dermatophytosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,Dropdown Lookup v0.3,,,,,9016,yes,7813,dermatophytosis,No Match,No Match,No Match,No Match,,7813
chloracne,,,,,,,,,,,,,chloracne,,,,,,9016,Skin,7829,chloracne,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7829,chloracne,No Match,No Match,No Match,No Match,,7829
chronic urticaria (chronic hives),chronic urticaria,chronic hives,,,urticaria (hives),,,,,,,,chronic urticaria (chronic hives),,,,,,9016,Skin,7825,urticaria,DBQ DERM Skin Diseases,no,Active,Active,v1.0,v1.1,,v1.1 updated to chronic,,,,,,9016,yes,No Match,No Match,,No Match,No Match,No Match,,
eczema (atopic dermatitis),eczema,atopic dermatitis,,,,,,,,,,,eczema (atopic dermatitis),,,,,,9016,Skin,7806,eczema,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7806,eczema,No Match,No Match,No Match,No Match,,7806
herpes (herpes simplex virus or HSV),herpes,herpes simplex virus,herpes simplex virus HSV,HSV,,,,,,,,,herpes (herpes simplex virus or HSV),,,,,,9016,Skin,7806,eczema,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,No Match,No Match,7806,eczema,No Match,No Match,,7806
hyperhidrosis (excessive sweating),hyperhidrosis,excessive sweating,,,,,,,,,,,hyperhidrosis (excessive sweating),,,,,,9016,Skin,7832,hyperhidrosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7832,hyperhidrosis,No Match,No Match,No Match,No Match,,7832
keratinization skin disorders,,,,,,,,,,,,,keratinization skin disorders,,,,,,9016,Skin,7824,diseases of keratinization,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7824,diseases of keratinization,No Match,No Match,No Match,No Match,,7824
plantar warts (foot warts),plantar warts,foot warts,,,,,,,,,,"left, right, bilateral","plantar warts (foot warts), right","plantar warts (foot warts), left","plantar warts (foot warts), bilateral",,,,9016,Skin,7820,infections of the skin,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7820,infections of the skin,No Match,No Match,No Match,No Match,,7820
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",pseudofolliculitis barbae,razor bumps,shave bumps,ingrown hairs,,,,,,,,,"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",,,,,,9016,Skin,7820,infections of the skin,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7820
psoriasis,,,,,,,,,,,,,psoriasis,,,,,,9016,Skin,7816,psoriasis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7816,psoriasis,7816,psoriasis,No Match,No Match,,7816
ringworm (dermatophytosis),ringworm,dermatophytosis,,,,,,,,,,,ringworm (dermatophytosis),,,,,,9016,Skin,7813,dermatophytosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,No Match,No Match,7813,dermatophytosis,No Match,No Match,,7813
vitiligo,,,,,,,,,,,,,vitiligo,,,,,,9016,Skin,7823,vitiligo,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,9016,yes,7823,vitiligo,No Match,No Match,No Match,No Match,,7823
Special Monthly Compensation - Aid and Attendance/Housebound,,,,,,,,,,,,,,,,,,,9017,Special Monthly Compensation - Aid and Attendance/Housebound,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Special Monthly Compensation - Anatomical Loss/Loss Of Use,,,,,,,,,,,,,,,,,,,9018,Special Monthly Compensation - Anatomical Loss/Loss Of Use,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Spina Bifida,,,,,,,,,,,,,,,,,,,9019,Spina Bifida,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
traumatic brain injury (TBI),traumatic brain injury,TBI,,,Traumatic Brain Injury,,,,,,,,traumatic brain injury (TBI),,,,,,9020,Traumatic Brain Injury,8045,residuals of traumatic brain injury (TBI),DBQ NEURO Initial Evaluation of TBI,no,Active,Active,v1.0,,,,,,,,,9020,yes,8045,residuals of traumatic brain injury (TBI),No Match,No Match,No Match,No Match,,8045
Tuberculosis,,,,,,,,,,,,,,,,,,,6890,Tuberculosis,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Unemployability,,,,,,,,,,,,,,,,,,,6990,Unemployability,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"Wound, Bullet/Shell Fragment",,,,,,,,,,,,,,,,,,,9021,"Wound, Bullet/Shell Fragment",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
